province,x,y
An Giang,-44,-272
Bac Ninh,2,248
Ha Noi,-16,240
Da Nang,95,3
Hai Phong,36,232
Hung Yen,-3,231
Ha Nam,-6,220
Hoa Binh,-34,225
Phu Tho,-44,255
Vinh Phuc,-24,261
Thai Nguyen,-14,272
Bac Giang,22,260
Quang Ninh,57,254
Lang Son,20,288
Bac Kan,-13,304
Cao Bang,-7,332
Ha Giang,-61,322
Tuyen Quang,-42,295
Lao Cai,-96,307
Yen Bai,-70,279
Lai Chau,-141,305
Dien Bien,-144,289
Son La,-94,254
Hai Duong,14,239
Thai Binh,23,217
Nam Dinh,13,202
Ninh Binh,-10,206
Thanh Hoa,-29,191
Nghe An,-54,152
Ha Tinh,-16,111
Quang Binh,11,74
Quang Tri,39,38
Thua Thien Hue,66,19
Quang Nam,90,-20
Quang Ngai,122,-51
Kon Tum,88,-65
Binh Dinh,138,-94
Gia Lai,95,-109
Phu Yen,143,-142
Dak Lak,100,-158
Khanh Hoa,141,-185
Ninh Thuan,133,-216
Lam Dong,91,-218
Dak Nong,71,-192
Binh Phuoc,31,-209
Binh Thuan,94,-245
Dong Nai,49,-247
Binh Duong,26,-236
Tay Ninh,-2,-223
Ba Ria - Vung Tau,58,-269
Ho Chi Minh,25,-257
Long An,4,-262
Tien Giang,4,-274
Ben Tre,29,-289
Dong Thap,-25,-264
Vinh Long,-4,-293
Tra Vinh,14,-308
Can Tho,-27,-286
Soc Trang,-5,-320
Kien Giang,-49,-300
Bac Lieu,-27,-333
Ca Mau,-50,-349
Hau Giang,-24,-306
